request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1113.60 in full today. The lowest projected balance is USD 629.16 on 2026-03-13, keeping the USD 500 minimum protected."
request_259,253.01,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 2024-11-15 and pay EUR 935 in full; only EUR 253.01 is safe today. The lowest projected balance is EUR 853.01 on 2024-09-13, keeping the EUR 600 minimum protected."
request_260,7565639.94,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 52079000 request. Only IDR 7565639.94 is safe today and the full IDR 52079000 does not become safe as one payment within the 86-day forecast.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1830.40 in full today. The lowest projected balance is EUR 1843.89 on 2026-07-10, keeping the EUR 1500 minimum protected."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9236000 in full today. The lowest projected balance is IDR 32929238.72 on 2025-02-13, keeping the IDR 31018500 minimum protected."
request_263,5805.05,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 51546 request. Only ZAR 5805.05 is safe today and the full ZAR 51546 does not become safe as one payment within the 86-day forecast.
request_264,23492.16,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Wait until 2026-06-15 and pay INR 111300 in full; only INR 23492.16 is safe today. The lowest projected balance is INR 82992.16 on 2026-04-11, keeping the INR 59500 minimum protected."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45970 in full today. The lowest projected balance is INR 221985.77 on 2024-05-28, keeping the INR 189700 minimum protected."
request_266,770.25,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13 starting 2025-08-03 (payment_option_764). The lowest projected balance is EUR 927.41 on 2025-10-14, keeping the EUR 900 minimum protected."
request_267,1641.70,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,stop:event_24573,"Stop Family streaming plan, then use 3 installments of EUR 667.33 starting 2026-01-08 (payment_option_767). The lowest projected balance is EUR 1640.27 on 2026-03-14, keeping the EUR 1500 minimum protected."
request_268,1041.50,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22 starting 2024-06-14 (payment_option_770). The lowest projected balance is EUR 1600.28 on 2024-06-14, keeping the EUR 1400 minimum protected."
request_269,9921.58,affordable_later,wait,2025-12-15:15490,2025-12-15,none,"Wait until 2025-12-15 and pay ZAR 15490 in full; only ZAR 9921.58 is safe today. The lowest projected balance is ZAR 28364.11 on 2026-01-13, keeping the ZAR 23100 minimum protected."
request_270,96.77,not_affordable,not_recommended,none,,none,Do not proceed with the USD 3028.80 request. Only USD 96.77 is safe today and the full USD 3028.80 does not become safe as one payment within the 86-day forecast.
request_271,13812.38,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Wait until 2024-11-15 and pay INR 91300 in full; only INR 13812.38 is safe today. The lowest projected balance is INR 72012.38 on 2024-09-14, keeping the INR 58200 minimum protected."
request_272,5415269.10,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67 starting 2025-02-12 (payment_option_780). The lowest projected balance is IDR 8214402.43 on 2025-02-13, keeping the IDR 7508600 minimum protected."
request_273,9628167.38,affordable_with_plan,partial_payment,2026-04-07:9628167.38|2026-04-15:6232832.62,2026-04-15,none,"Pay IDR 9628167.38 today and the remaining IDR 6232832.62 on 2026-04-15. The lowest projected balance is IDR 18774600 on 2026-04-12, keeping the IDR 18774600 minimum protected."
request_274,2131.94,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-15,reduce_to:event_25181:51.60,"Reduce Clothing and household items to EUR 51.60, then use 3 installments of EUR 940.75 starting 2024-12-04 (payment_option_785). The lowest projected balance is EUR 1916.84 on 2025-02-13, keeping the EUR 1800 minimum protected."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15884000 in full today. The lowest projected balance is IDR 14257667.16 on 2025-05-14, keeping the IDR 12760100 minimum protected."
